Id,IdPosto,DataMovimento,DataGeracao
7C4C2172-DEE7-4CD2-A883-003C1455E9F1,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-11 00:00:00.000,2013-11-12 00:12:56.497
B83EEB7E-B554-42DA-9334-007DF9EA5D96,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-28 00:00:00.000,2013-07-29 00:23:18.113
11FF045C-84C2-45B2-BDC5-009571B33C64,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-08 00:00:00.000,2014-06-09 00:18:06.367
FCECACCC-5A33-40EA-9A8A-00BD3364C960,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-10-26 00:00:00.000,2014-10-27 00:36:49.620
E4A15F8C-DAAA-4906-8969-00C1701CCAA7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-16 00:00:00.000,2014-06-17 00:04:12.403
89C8DDF7-0409-4F03-8978-01690E7AC984,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-07-27 00:00:00.000,2014-07-28 00:18:50.447
2D686E91-AA30-447F-AD30-020513B7B284,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-28 00:00:00.000,2013-05-29 00:03:53.060
1E0617EC-5ACB-49D4-88BB-02298C28854E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-14 00:00:00.000,2013-07-15 00:37:42.337
DE8B537C-8140-4F0B-AC34-03B203B2B37F,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-12-25 00:00:00.000,2014-12-26 00:19:13.530
40258CD1-EF41-4555-991F-03ED2AA51426,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-20 00:00:00.000,2013-08-21 00:06:55.587
07A83E8A-F1B8-4E66-B897-04255E281CF3,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-26 00:00:00.000,2014-06-27 00:04:12.767
311148D0-5C70-450A-91F5-0470887F6421,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-01 00:00:00.000,2013-07-02 00:25:23.603
82595BD5-342F-4980-9ECD-049DEDC8EBB8,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-08-24 00:00:00.000,2014-08-25 00:10:10.830
C753A114-0F30-47DC-B7AF-04BB6B2CCF08,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-12-30 00:00:00.000,2013-12-31 00:09:26.457
1A0F86AC-8747-4FCE-997D-055DF56084AC,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-08-17 00:00:00.000,2014-08-18 01:29:20.713
33B2F715-90E7-4ACE-9085-05B79EFC298A,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-10 00:00:00.000,2013-07-11 00:55:03.427
358B0702-539F-47B0-B9D3-05D0DD97052B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-01-08 00:00:00.000,2014-01-09 00:03:37.610
9852C64A-B48B-4A24-9BDC-06CF9D8C7CFA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-08-03 00:00:00.000,2014-08-04 01:28:31.763
25C9C71D-3C03-49A2-A4E0-070E1FFBF4B7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-03-14 00:00:00.000,2014-03-15 00:10:12.773
B841E1C1-8256-4DBB-89BB-08605C059246,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-08-16 00:00:00.000,2014-08-17 00:56:49.667
241AC6B4-7BA9-430A-883F-093DBEEEFDDB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-11 00:00:00.000,2015-01-12 00:17:38.763
485C23FB-6D26-447D-82F1-0988FB955240,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-06 00:00:00.000,2013-07-07 00:34:05.453
45AFD8D5-1040-4B55-91CD-09AE53751081,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-07-20 00:00:00.000,2014-07-21 00:50:15.773
142A0063-9C1B-4237-AFA4-0A7FB0F1DBDC,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-04 00:00:00.000,2015-01-05 00:13:32.700
01794065-FACA-4D01-94FE-0AF37F929799,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-09-22 00:00:00.000,2013-09-23 00:23:01.167
4103B113-8F5B-4016-BD72-0B8E8A69BB25,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-17 00:00:00.000,2013-11-18 00:08:24.273
1F1DE94D-B0D3-44A9-BB29-0C2AF6C2A845,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-31 00:00:00.000,2013-06-01 00:07:56.480
F7F896BB-0680-4702-ACAC-0C52F6D9C1BB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-12-03 00:00:00.000,2013-12-04 00:03:49.360
BE4CBFCB-9491-49F2-8DE3-0CCDD069BFAC,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-21 00:00:00.000,2013-08-22 00:21:42.897
A6E3891E-0FFA-4A52-87B3-0DC0204A231F,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-06-10 00:00:00.000,2013-06-11 00:03:41.557
A154892A-EE3F-4109-89D6-0EB0D203C8AA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-08 00:00:00.000,2013-08-09 00:25:48.420
63CB7816-38E2-4C1B-85C0-0EE7BD18EF03,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-28 00:00:00.000,2013-08-29 00:05:00.810
7E04BB91-FAC2-4B1B-800C-0EE8ADA8B2DB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-28 00:00:00.000,2013-11-29 01:42:44.363
D12007CF-8F5B-4A05-B9D2-0F9BB35DBE1B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-08-15 00:00:00.000,2013-08-16 00:06:11.317
A6FDD82A-6284-415A-87FE-0FC69EAB7DF1,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-11-04 00:00:00.000,2014-11-05 00:20:16.660
EEABD591-B62D-43FC-8CE8-0FEB3F91D2D9,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-02-26 00:00:00.000,2014-02-27 00:12:17.157
93A4DEC2-5243-43C0-8E15-100F29B7F4A8,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-01 00:00:00.000,2015-01-02 00:23:34.857
EBD68A84-1BE4-471D-82D7-1069DE910216,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-05-06 00:00:00.000,2014-05-07 00:02:59.460
15BD7E93-6482-4E0F-962F-10B64F96D74D,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-09-20 00:00:00.000,2013-09-21 00:12:03.793
DEF6ADA9-F7ED-49D8-931C-1260C25A36E0,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-27 00:00:00.000,2013-05-28 00:10:09.140
F37BD16E-745C-409D-ABD6-12680795E45E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2015-01-12 00:00:00.000,2015-01-13 00:34:00.973
39CF5628-1F9E-4177-B6DD-12CA2E6C1E93,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-11-27 00:00:00.000,2013-11-28 00:04:20.240
0F2E4205-ED12-4BF2-B667-12EE7330A6E7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-13 00:00:00.000,2014-06-14 00:16:28.767
380A6A01-92F2-4015-B328-130E67A816E5,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-12-17 00:00:00.000,2013-12-18 00:04:56.530
A9BCA419-736A-4377-8190-131614F1A5CB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-07-20 00:00:00.000,2013-07-21 00:08:31.433
D6FF51C1-768E-4DC9-BE62-134DA4B74A81,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-06-27 00:00:00.000,2014-06-28 00:30:54.030
4F5254AA-526B-4CC6-90B8-135B89420EDF,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-02-08 00:00:00.000,2014-02-09 00:29:20.150
915618CA-B18E-4066-B1E5-148C16E6658C,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-05-30 00:00:00.000,2013-05-31 00:42:35.647
F7E3E189-33F4-4651-9589-14CF2B36923E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2013-06-19 00:00:00.000,2013-06-20 00:03:59.600
7C010472-4EF5-428B-9B92-152A024E4045,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,2014-07-29 00:00:00.000,2014-07-30 00:58:31.303

